,vintage,age,gender,dependents,occupation,city,customer_nw_category,branch_code,current_balance,previous_month_end_balance,average_monthly_balance_prevQ,average_monthly_balance_prevQ2,current_month_credit,previous_month_credit,current_month_debit,previous_month_debit,current_month_balance,previous_month_balance,churn,last_transaction
70,2031,27,Male,1.0,self_employed,1525.0,2,194,431.67,3572.74,2623.92,394.73,0.37,5714.66,3191.36,7339.07,1546.76,4973.61,1,2019-11-15
73,2121,61,Male,0.0,salaried,318.0,3,2760,2662.21,2590.78,2500.33,4217.13,143.46,183.14,72.03,0.6,2704.08,2575.33,0,2019-12-06
76,1542,41,Male,0.0,self_employed,409.0,3,921,6209.34,747.55,2028.69,436.32,298.6,1515.79,1191.11,1925.96,5028.71,389.58,0,2019-12-19
79,2144,58,Male,2.0,salaried,17.0,2,1783,2335.05,2163.62,2212.69,960.02,142.97,0.11,285.83,174.4,2174.46,2237.81,0,2019-12-13
83,1470,26,Male,0.0,self_employed,1154.0,3,1730,483.52,483.52,2032.88,6547.79,0.3,0.3,0.3,57.44,483.52,560.64,1,2019-08-27
85,1592,33,Male,0.0,self_employed,1477.0,2,2539,3537.16,3137.31,3658.26,1726.28,471.97,1386.26,71.97,4871.97,3497.27,2805.97,0,2019-12-11
87,2234,19,Female,0.0,self_employed,1096.0,1,11,3144.56,3145.98,2800.31,877.99,0.01,0.01,1.44,0.01,3145.84,3145.98,0,2019-10-23
89,2394,41,Male,0.0,self_employed,1.0,2,5,3185.72,3185.72,3185.72,3173.23,0.67,0.67,0.67,0.67,3185.72,3185.72,0,2019-05-15
91,1559,30,Male,0.0,salaried,58.0,2,803,3122.27,3148.7,3380.35,6022.71,0.47,0.47,0.47,0.47,3143.23,3148.7,0,2019-10-17
93,1694,74,Male,0.0,retired,146.0,2,286,2227.37,2355.94,1869.48,226.88,0.27,0.27,128.84,0.27,2333.78,2352.71,0,2019-10-22
95,1978,26,Male,0.0,self_employed,318.0,3,35,1454.24,3187.91,1440.99,1260.99,0.34,1085.49,2877.35,410.67,2173.64,1634.38,1,2019-12-01
96,2158,32,Female,0.0,self_employed,1477.0,3,2903,2429.18,3961.44,3826.64,4367.47,0.14,0.14,1428.71,114.43,3364.19,3994.93,1,2019-07-04
97,1971,71,Male,0.0,retired,800.0,3,112,2460.94,2460.94,2460.94,2445.36,0.29,0.29,0.29,0.29,2460.94,2460.94,0,NaT
100,1561,90,Female,0.0,self_employed,1271.0,2,1253,8215.16,8243.74,8237.17,8191.22,0.23,0.23,28.8,0.23,8224.03,8243.74,0,NaT
101,2225,48,Male,0.0,self_employed,1525.0,2,146,2617.87,2864.08,3395.36,4774.91,554.89,554.89,782.59,1100.93,2728.8,3173.96,0,2019-12-31
103,2414,75,Male,0.0,self_employed,1180.0,2,116,1555.37,7232.49,6392.32,10989.5,0.6,814.89,4664.03,3224.89,2312.52,7315.78,1,2019-11-09
107,2169,34,Male,0.0,self_employed,1040.0,3,252,2597.77,2597.77,2597.77,8813.29,0.17,0.17,0.17,0.17,2597.77,2597.77,0,2019-06-26
108,1874,49,Female,0.0,self_employed,318.0,3,108,1694.84,1821.79,2234.07,1473.98,0.56,0.56,128.94,889.61,1770.46,2206.02,1,2019-09-27
110,1763,43,Female,0.0,salaried,61.0,3,115,2488.77,2814.5,3060.89,654.45,0.66,0.66,0.66,1022.8,2646.02,3245.73,0,2019-10-11
113,2215,54,Male,0.0,salaried,1232.0,3,149,909.84,3171.61,2529.1,3696.6,1544.86,142.97,3324.87,2346.67,2592.86,2438.97,0,2019-12-04
115,2234,10,Female,0.0,student,1185.0,3,2196,107.99,822.27,1845.1,900.96,0.57,0.57,714.86,2143.43,526.71,2043.47,1,2019-09-22
116,1454,67,Male,0.0,self_employed,107.0,2,1806,1515.7,1515.7,1515.7,1506.1,0.16,0.16,0.16,0.16,1515.7,1515.7,0,NaT
117,2147,48,Male,1.0,salaried,1020.0,1,239,1905.79,1185.76,1764.06,9259.98,1680.43,446.64,9122.52,1905.45,2481.69,1648.49,0,2019-12-28
120,1298,40,Male,2.0,student,65.0,2,183,1100.97,1636.97,6221.02,5432.18,0.47,0.47,536.47,911.39,1257.45,2082.78,1,2019-10-29
122,2184,37,Female,0.0,self_employed,156.0,2,2755,3097.47,3009.86,3042.97,3381.31,0.34,0.34,0.34,0.34,3067.26,3014.47,1,2019-07-10
124,1941,68,Male,0.0,retired,1180.0,3,1583,2101.47,1681.47,1720.19,865.94,0.27,0.27,0.27,0.27,1797.34,1681.47,0,NaT
125,1860,34,Female,0.0,self_employed,1096.0,3,1375,5899.01,6327.58,5085.83,2729.45,0.11,428.69,428.69,0.11,5943.34,5926.66,0,2019-11-12
126,2286,71,Male,0.0,retired,334.0,2,2082,844.46,844.46,3459.95,6149.84,0.07,0.07,0.07,1167.89,844.46,1002.39,1,2019-09-26
127,1288,46,Male,2.0,salaried,1298.0,3,2907,2409.49,2531.36,3444.59,4213.89,122.03,122.03,243.9,1672.47,2409.49,3660.94,0,2019-12-17
128,2221,43,Male,3.0,self_employed,1598.0,2,1087,5182.72,5390.45,5085.21,5235.58,0.41,886.13,0.41,0.41,5341.82,5089.71,0,2019-12-01
131,1765,43,Male,2.0,salaried,1020.0,3,2245,1460.15,2189.98,1930.66,4036.99,0.13,8742.99,1105.96,3900.13,1872.19,1716.76,0,2019-11-29
132,1709,31,Female,1.0,self_employed,138.0,3,1656,7020.3,7020.3,7020.3,6975.83,0.16,0.16,0.16,0.16,7020.3,7020.3,0,NaT
134,2355,45,Male,0.0,self_employed,630.0,1,36,2189.03,1180.95,2095.61,4133.01,1038.1,3043.03,29.69,4764.47,1882.94,1564.02,0,2019-12-25
136,2178,35,Female,0.0,self_employed,572.0,3,2397,1072.56,1072.56,1994.21,1781.4,0.21,0.21,0.21,1428.79,1072.56,2408.96,0,2019-09-20
138,1965,39,Male,0.0,self_employed,241.0,2,62,1570.66,1682.95,4509.4,4438.01,21.84,0.41,91.95,20.44,1665.33,3255.39,0,2019-12-03
140,1657,30,Male,0.0,self_employed,142.0,2,1950,1642.73,1638.88,1638.54,2879.81,0.54,0.54,0.54,0.54,1642.6,1638.88,0,2019-07-20
141,1696,30,Female,0.0,self_employed,409.0,2,679,2348.97,2348.97,3645.54,7706.6,0.2,0.2,0.2,3285.91,2348.97,3049.5,0,2019-09-12
142,2062,25,Male,2.0,self_employed,1154.0,3,1730,314.23,2.04,2205.76,2373.25,1159.94,5088.96,1326.33,5876.33,207.61,613.69,1,2019-12-22
143,2236,42,Female,0.0,self_employed,479.0,3,234,279.79,275.19,2054.35,2970.87,62.01,62.09,114.56,43.13,284.82,251.74,1,2019-12-21
146,1733,28,Male,0.0,self_employed,32.0,3,820,4689.26,4689.26,4597.46,4302.62,0.09,194.11,0.09,0.09,4689.26,4607.89,0,2019-11-15
147,2375,28,Male,0.0,self_employed,146.0,2,1759,3725.73,1660.06,2233.48,4640.59,185.77,2257.2,726.49,3128.63,2974.86,1844.77,0,2019-12-17
148,2187,34,Male,0.0,self_employed,1416.0,2,524,7634.87,7968.58,7951.54,8311.28,0.16,0.16,619.59,48.16,7850.89,7977.87,0,2019-05-14
151,2304,32,Male,0.0,salaried,485.0,3,1514,2059.04,2103.95,2123.99,1975.34,0.61,0.61,45.53,251.7,2063.68,2112.77,0,2019-10-05
152,2217,39,Male,0.0,salaried,1477.0,2,724,5718.2,6018.2,6869.09,5349.45,0.31,714.6,1578.89,2869.77,5764.26,6529.73,0,2019-11-26
153,2383,44,Male,0.0,self_employed,1046.0,2,1248,6888.19,6888.19,6995.72,7140.52,0.69,0.69,0.69,0.69,6888.19,6888.19,0,2019-10-06
155,1995,36,Female,0.0,self_employed,1525.0,3,665,1471.2,1861.02,1664.98,1513.34,0.53,929.1,350.69,0.53,1701.32,1986.71,0,2019-11-13
156,2371,51,Female,0.0,salaried,751.0,2,138,3712.09,3712.09,3712.09,5012.75,0.36,0.36,0.36,0.36,3712.09,3712.09,0,NaT
157,2317,83,Female,0.0,retired,1020.0,1,668,0.51,0.51,2004.84,10440.1,0.51,0.51,0.51,0.51,0.51,0.51,1,2019-08-24
159,1489,52,Male,0.0,salaried,1046.0,3,102,3278.11,3529.14,3498.9,3934.21,0.56,0.56,243.41,0.56,3410.77,3529.14,0,2019-06-09
162,1976,46,Male,2.0,self_employed,409.0,3,1672,1633.2,761.77,1494.99,2125.05,714.37,0.09,0.09,1214.37,1042.07,1466.84,0,2019-12-28
165,2367,26,Male,0.0,salaried,146.0,1,76,2354.29,3289.97,3352.04,4172.94,2.36,0.64,647.28,304.37,2725.9,3497.39,0,2019-12-25
167,2313,35,Male,0.0,salaried,1020.0,1,5,1799.94,1188.93,1473.55,6306.04,0.29,0.29,5991.1,5728.86,849.3,2077.78,0,2019-08-21
169,2338,39,Female,0.0,salaried,146.0,3,2027,4970.13,4385.5,3957.34,4801.31,0.54,261.28,354.76,1207.79,4072.15,3641.62,0,2019-11-08
170,1474,31,Male,0.0,salaried,1096.0,2,2024,5654.08,5724.63,5726.95,5899.34,0.26,0.26,0.26,0.26,5656.52,5726.9,0,NaT
171,2095,64,Female,0.0,self_employed,1181.0,2,186,7154.35,5430.54,5842.56,3667.74,1497.44,1497.44,298.63,961.88,6817.38,5577.67,0,2019-12-07
174,1987,49,Male,0.0,self_employed,162.0,3,304,1898.54,1927.11,1763.19,806.12,0.51,0.51,0.51,0.51,1918.24,1946.81,0,2019-10-15
176,2396,37,Male,0.0,self_employed,223.0,2,187,1739.81,1739.81,1739.81,1702.25,0.1,0.1,0.1,0.1,1739.81,1739.81,0,2019-09-27
177,1861,44,Female,0.0,self_employed,965.0,3,370,2462.65,2283.09,1889.2,1639.6,677.0,846.97,539.47,625.34,2035.26,1711.8,0,2019-12-28
178,1908,36,Female,0.0,self_employed,1020.0,1,582,2630.36,3604.13,3716.69,3385.48,285.91,285.91,1259.68,1105.91,3078.28,3917.2,0,2019-12-24
180,1785,49,Female,0.0,salaried,1388.0,3,1378,665.33,2416.37,2125.49,7863.94,75.29,3.67,753.06,547.51,1126.12,2683.18,0,2019-12-13
183,2191,30,Female,0.0,self_employed,1271.0,3,1698,2683.0,2683.0,3117.21,3075.15,0.6,0.6,0.6,1258.53,2683.0,2966.6,0,NaT
184,2110,90,Male,0.0,self_employed,905.0,3,34,1841.96,1841.96,1841.96,1830.29,0.49,0.49,0.49,0.49,1841.96,1841.96,0,NaT
185,2254,36,Female,0.0,self_employed,1598.0,3,1465,2947.01,2832.76,2761.75,2198.01,185.76,185.76,0.04,0.04,2931.25,2796.82,0,2019-12-06
187,2406,65,Male,0.0,self_employed,1597.0,2,170,5823.36,5823.36,5823.36,3858.03,0.11,0.11,0.11,0.11,5823.36,5823.36,0,2019-08-04
188,1922,90,Male,0.0,self_employed,575.0,3,622,4178.06,3908.06,3969.39,3119.8,698.61,270.04,428.61,209.77,4140.81,3954.4,0,2019-12-25
190,1977,42,Male,0.0,salaried,575.0,2,1721,2191.51,2134.96,2167.66,3603.36,0.11,0.11,45.67,160.15,2171.26,2233.05,0,2019-03-20
191,1948,38,Female,0.0,self_employed,1232.0,3,149,1756.94,729.06,1451.46,1484.59,671.64,3158.56,528.79,4828.79,1929.45,1079.07,0,2019-12-20
194,2287,61,Male,0.0,self_employed,413.0,3,759,3731.2,3759.77,3768.27,2838.67,286.3,0.59,286.3,0.59,3712.97,3779.59,0,2019-12-28
195,2145,55,Male,0.0,salaried,569.0,2,1638,7110.16,8816.34,7008.65,2727.1,823.37,1020.09,2627.2,2742.04,7493.78,9016.52,0,2019-12-31
196,2328,64,Male,0.0,retired,1589.0,3,33,2479.97,2475.07,2477.79,1496.7,0.07,0.07,0.07,0.07,2477.6,2475.07,1,2019-08-16
198,2225,41,Male,0.0,self_employed,1412.0,2,2179,3975.23,4675.23,4473.45,4053.59,0.11,714.4,700.11,712.97,4071.78,4674.76,0,2019-11-12
199,2039,28,Female,0.0,salaried,1179.0,3,2824,278.57,538.71,2486.48,1130.89,0.64,0.64,246.5,3103.64,351.71,1797.82,1,2019-07-16
202,2209,35,Female,1.0,self_employed,1020.0,3,159,1983.16,1808.79,2192.14,2575.07,364.64,929.19,190.27,1219.36,1978.02,2137.75,0,2019-12-08
206,2298,42,Female,0.0,self_employed,334.0,2,880,6689.29,6689.29,7210.03,9139.33,0.19,0.19,0.19,1000.19,6689.29,7251.51,0,2019-02-26
207,2081,45,Male,2.0,self_employed,180.0,2,187,5315.57,1558.28,2441.2,3700.04,286.0,0.29,46.0,418.07,2460.67,2149.19,0,2019-12-13
208,1368,45,Male,0.0,salaried,146.0,3,1045,2764.84,2764.84,2408.47,2089.34,0.21,643.07,0.21,0.21,2764.84,2412.31,0,2019-11-23
209,2364,39,Male,0.0,self_employed,491.0,3,619,2205.39,1553.56,1978.55,2245.55,857.7,0.56,0.56,182.04,1932.26,1647.77,0,2019-12-18
210,2419,38,Female,0.0,self_employed,1449.0,3,610,1595.33,1829.17,1878.16,6504.23,0.17,0.17,234.01,234.01,1651.77,1874.43,0,2019-05-18
212,2348,30,Female,0.0,self_employed,61.0,2,476,3843.06,3843.06,3758.58,3063.16,0.47,0.47,0.47,0.47,3843.06,3843.06,1,2019-10-24
213,1131,59,Male,1.0,salaried,904.0,3,296,5532.14,5532.14,5532.14,5190.04,0.43,0.43,0.43,0.43,5532.14,5532.14,0,2019-09-20
215,1804,28,Male,0.0,student,878.0,2,1716,900.93,2903.99,3001.2,3833.88,1429.5,0.11,4803.15,737.07,1947.52,3404.93,1,2019-12-20
216,2116,60,Female,0.0,salaried,834.0,3,1231,3486.24,3950.77,3882.94,2708.24,0.44,0.44,768.0,493.11,3976.3,3816.25,0,2019-09-13
218,1976,42,Male,0.0,salaried,432.0,2,1958,2399.45,2399.45,2426.21,3253.18,0.41,0.41,0.41,0.41,2399.45,2399.45,0,NaT
219,2286,31,Female,0.0,student,409.0,2,272,6251.19,6251.19,6251.19,6211.59,0.47,0.47,0.47,0.47,6251.19,6251.19,0,NaT
220,1831,56,Male,0.0,self_employed,1618.0,1,51,4142.83,4428.54,4387.39,4309.24,0.01,0.01,285.73,0.01,4379.28,4428.54,0,2019-10-16
221,2034,33,Female,0.0,self_employed,1076.0,2,64,1700.94,1529.51,1747.81,4851.23,214.41,0.13,0.13,0.13,1545.77,1533.59,0,2019-12-25
222,2436,66,Female,0.0,self_employed,409.0,3,293,3102.16,3102.16,3102.16,3097.71,0.23,0.23,0.23,0.23,3102.16,3102.16,0,2019-09-04
224,1913,44,Male,0.0,salaried,1163.0,3,1789,2163.68,2163.68,2166.76,2283.85,0.47,0.47,0.47,0.47,2163.68,2163.68,1,2019-01-08
225,2404,42,Male,0.0,self_employed,914.0,3,2409,390.24,1979.52,4412.93,187.51,1214.87,757.73,798.13,36334.91,616.84,12409.91,1,2019-12-05
226,2288,23,Male,0.0,student,1232.0,3,1795,6011.64,6011.64,6011.64,5966.95,0.46,0.46,0.46,0.46,6011.64,6011.64,0,NaT
227,2040,45,Male,0.0,salaried,409.0,2,158,2471.72,2471.72,2252.98,1057.72,0.29,0.29,0.29,0.29,2471.72,2471.72,0,2019-10-20
229,2346,67,Male,0.0,retired,413.0,2,759,3896.99,4111.28,3106.71,2968.24,0.31,1798.37,0.31,0.31,4000.44,2697.7,0,2019-11-26
233,2165,58,Female,0.0,self_employed,996.0,3,1209,2288.18,2291.46,2291.23,2191.13,0.06,0.06,0.06,0.06,2290.78,2291.46,0,2019-08-27
235,2018,77,Male,0.0,retired,1020.0,2,2,8263.48,8953.48,8731.41,8887.9,0.16,0.16,690.16,0.16,8287.27,8953.48,0,2019-01-24
236,1914,42,Male,0.0,self_employed,318.0,2,213,2695.29,3138.74,3284.33,934.02,0.1,0.1,428.67,0.1,2852.44,3138.74,1,2019-09-19
237,2238,59,Male,0.0,salaried,491.0,2,707,563.65,6990.04,5886.99,4504.87,0.06,0.06,6428.63,11.54,3666.73,6996.86,0,2019-09-20
241,2337,45,Female,0.0,self_employed,146.0,3,354,2766.59,3381.74,3139.02,3388.41,0.72,0.99,641.06,1245.28,2992.14,3108.12,0,2019-12-22
242,1863,64,Male,2.0,retired,334.0,2,674,5003.27,5020.15,3591.72,2344.87,0.26,0.26,163.3,239.05,5021.39,3386.63,0,2019-11-01
244,2009,47,Male,1.0,self_employed,905.0,2,2474,5382.59,5333.47,5357.48,5565.15,214.97,386.4,82.66,92.1,5431.81,5370.52,0,2019-12-06
247,2374,60,Female,0.0,retired,906.0,3,1695,3840.8,4426.51,4090.69,2160.78,0.24,0.24,571.67,0.24,4318.14,4430.66,0,2019-06-14
248,1770,39,Male,3.0,self_employed,1020.0,3,47,1933.12,533.94,8259.56,3932.23,357.83,779.26,728.44,5611.23,1818.61,2881.55,1,2019-12-20
251,2308,41,Female,0.0,self_employed,1525.0,3,320,1691.27,1776.98,1718.87,984.21,0.1,0.1,0.1,0.1,1697.18,1782.51,0,2019-08-04
252,2083,50,Male,0.0,self_employed,1020.0,2,212,1503.34,1503.34,1503.34,1609.2,0.44,0.44,0.44,0.44,1503.34,1503.34,0,2019-04-17
253,2061,38,Male,0.0,self_employed,1020.0,2,16,1689.22,1527.79,1548.04,1848.21,0.07,0.07,0.07,0.07,1592.47,1527.79,0,NaT
255,2278,54,Female,0.0,self_employed,334.0,2,676,5664.38,6450.09,8411.48,6475.6,0.03,0.03,728.6,1571.46,6090.48,7417.83,1,2019-08-29
256,2018,77,Female,0.0,self_employed,1020.0,1,5,1828.39,1828.39,1810.27,1724.1,0.27,0.27,0.27,0.27,1828.39,1828.39,0,2019-10-30
257,2333,63,Male,0.0,self_employed,694.0,3,1420,2684.38,2679.46,2890.48,3162.33,0.36,0.36,214.03,376.2,2799.87,2762.71,0,2019-09-22
258,2392,63,Male,0.0,retired,1020.0,3,501,1964.42,4672.32,4234.68,4445.53,0.34,214.63,44.13,204.19,2384.68,4895.2,1,2019-11-05
259,2384,15,Male,0.0,student,1181.0,2,235,3313.3,3313.3,3313.37,3295.25,0.57,0.57,0.57,0.57,3313.3,3313.3,0,NaT
260,1953,28,Female,0.0,self_employed,1271.0,2,378,430.31,2576.68,2469.82,2643.69,0.67,0.67,4.19,700.67,1024.16,3118.61,1,2019-10-03
262,2342,39,Female,0.0,self_employed,146.0,1,77,4093.32,7162.03,5666.34,4008.97,0.53,3.72,2170.67,1291.23,5559.46,7858.88,1,2019-11-30
263,2086,61,Male,0.0,salaried,409.0,2,1347,7506.81,7534.58,7766.3,3174.01,0.23,0.23,0.23,357.37,7514.54,7577.99,0,2019-10-01
265,2286,53,Male,2.0,self_employed,1178.0,3,526,2918.97,2918.97,2918.97,2682.14,0.03,0.03,0.03,0.03,2918.97,2918.97,0,2019-08-04
266,2287,31,Male,0.0,self_employed,1477.0,3,2581,1031.8,5171.8,4903.77,6518.16,0.59,1714.87,4140.59,1272.01,3049.64,4127.56,0,2019-12-01
267,2396,32,Male,0.0,salaried,1020.0,1,227,1069.08,1606.15,3096.84,1614.17,0.5,0.5,537.57,4400.5,1095.67,2101.07,1,2019-08-07
269,2104,23,Male,0.0,salaried,834.0,2,219,4287.7,4896.61,2840.36,635.42,0.5,4292.14,76.21,143.36,4579.2,2689.6,0,2019-11-17
271,2422,55,Male,2.0,self_employed,139.0,3,643,1565.69,1896.58,1675.83,2044.76,0.06,371.49,368.56,368.56,1602.33,1728.46,0,2019-11-20
273,2317,49,Male,0.0,salaried,1232.0,3,39,1216.68,857.4,4522.04,8385.71,114.53,0.24,0.24,11666.67,1018.68,1246.89,1,2019-12-04
274,2195,37,Female,0.0,self_employed,575.0,2,485,3431.4,3439.36,3454.0,3528.8,0.67,0.67,0.67,29.24,3447.13,3442.39,0,2019-08-30
276,2104,69,Female,0.0,self_employed,649.0,1,289,1361.62,3597.32,3443.74,1688.58,1361.7,0.03,14285.82,0.03,3153.96,3590.63,0,2019-12-31
279,1587,29,Male,0.0,student,146.0,2,509,6504.13,6676.65,6773.08,6659.52,893.81,0.39,1066.34,143.24,6713.97,6786.54,0,2019-12-14
280,2403,44,Male,1.0,self_employed,664.0,3,413,5342.3,6085.16,6573.78,5786.49,0.1,0.1,700.1,1428.67,5857.82,6501.66,0,2019-09-05
